MEASUREMENT_FREE_TEXT	extracted::IS_POS	COUNT	NOTES	ratio_COUNT	Npeople	ratio_Npeople	Npeople	ratio_Npeople
NEGAT	0	2917080	NA	1.113	272065	1.038	32003	NA
negat	0	2446381	NA	1.347	202894	1.112	26651	NA
neg	0	952657	NA	1.319	129119	1.112	18548	NA
NEG	0	896548	NA	1.259	162345	1.156	15187	NA
Negat	0	835660	NA	1.45	192609	1.114	14056	NA
Negat.	0	571755	NA	1.27	123388	1.175	11780	NA
Neg	0	316149	NA	1.253	77193	1.239	12864	NA
A RhD pos	NA	162246	NA	1.208	63741	1.125	13563	NA
O RhD pos	NA	119642	NA	1.201	46417	1.119	16219	NA
Posit.	1	106263	NA	1.255	50905	1.19	9747	NA
-(neg)	0	105855	NA	1.144	32730	1.161	12678	NA
NEGAT.	0	105509	NA	1.169	9210	1.118	11241	NA
Negatiivinen	0	104993	NA	1.006	42920	1.009	12649	NA
POSIT	1	89596	NA	1.148	60178	1.101	13158	NA
Posit	1	69472	NA	1.119	56467	1.076	11048	NA
posit	1	65802	NA	1.346	36240	1.268	10647	NA
B RhD pos	NA	63537	NA	1.202	25078	1.121	6837	NA
negat.	0	55268	NA	1.155	31524	1.115	8828	NA
POS	1	48940	NA	1.194	31160	1.115	9073	NA
SEULPOS	1	36372	NA	1.401	14616	1.277	6259	NA
negative	0	35175	NA	1.003	2783	1.035	6996	NA
Tutkimuksen tulos: NEGAT	0	34600	NA	0.999	8577	0.999	8732	NA
seulneg	0	30464	check testID --> OK	1.14	9764	1.114	7345	NA
AB RhD pos	NA	30190	NA	1.204	11979	1.121	7343	NA
A RhD neg	NA	28090	NA	1.19	9275	1.117	6336	NA
NEGATIVE	0	26857	NA	1.039	2581	1.075	6489	NA
negatiivinen	0	25023	NA	1.014	18401	1.012	5472	NA
NEG Arvio	0	23604	NA	1.368	10610	1.244	6740	NA
POSIT*	1	22688	NA	1.125	16653	1.086	6478	NA
pos	1	22436	NA	1.163	11216	1.124	5247	NA
O RhD neg	NA	20903	NA	1.183	7073	1.125	5423	NA
Pos	1	19284	NA	1.07	10556	1.11	5112	NA
Positiivinen	1	15510	NA	1.005	13944	1.004	3428	NA
Tutkimuksen tulos: NEG	0	14129	NA	1.011	4773	1.016	3872	NA
+(pos)	1	12333	NA	1.129	5898	1.192	3081	NA
B RhD neg	NA	11056	NA	1.201	3637	1.124	3827	NA
Tutkimuksen tulos: Negat.	0	10466	NA	1	3096	1	3894	NA
Tutkimuksen tulos: negat	0	10227	NA	0.998	4083	0.998	3405	NA
Resultat: NEGAT	0	9058	NA	1	687	1	4033	NA
A Rh(D)pos	NA	8106	NA	1.055	5148	1.058	3286	NA
Tutkimuksen tulos: Negatiivinen	0	7467	NA	0.999	3328	0.999	4719	NA
Negative	0	7196	NA	1.025	1117	1.045	3107	NA
Tutkimuksen tulos: neg	0	7183	NA	1.008	1578	1.003	2455	NA
2 vrk neg.	0	7062	check testID --> OK	5.379	3672	4.876	3154	NA
A Rh POS	NA	7022	NA	1.435	6072	1.386	3418	NA
POSIT.	1	6488	NA	1.222	1776	1.136	3292	NA
O Rh(D)pos	NA	6457	NA	1.056	3999	1.054	2966	NA
NEGAT pmy/ml	0	6426	NA	2.482	4068	2.119	3106	NA
neg.	0	6252	NA	1.235	1914	1.147	2740	NA
NEGATIIVINEN	0	6079	NA	1.898	2895	2.008	3275	NA
Provresultat: Negat	0	5706	NA	1.126	735	1.094	3711	NA
AB RhD neg	NA	5619	NA	1.183	1834	1.122	2432	NA
Tutkimuksen tulos: Neg	0	5456	NA	1.001	3144	1.002	2337	NA
Neg.	0	5195	NA	1.27	669	1.159	2723	NA
O Rh POS	NA	5191	NA	1.429	4360	1.383	1777	NA
posit*	1	4989	NA	1.104	2278	1.172	1641	NA
positiivinen	1	4981	NA	1.012	4796	1.011	2394	NA
Negatiiv	0	4698	NA	1.002	1754	1.002	2706	NA
Tehty NEGAT	0	4120	NA	NA	3709	NA	2719	NA
Posit.*	1	3974	NA	1.013	2973	1.014	2221	NA
NEGAT Vastaus perustuu bakteeri- ja leukosyyttilaskentaan.	0	3842	NA	NA	3458	NA	2253	NA
Resultat: neg	0	3662	NA	0.999	1029	0.999	1873	NA
B Rh(D)pos	NA	3101	NA	1.062	2054	1.064	1643	NA
Negat. Vastaus annettu solulaskenta-analysaattorin tuloksen perusteella.	NA	3095	NA	49.127	2766	43.905	1687	NA
<0.35 Negatiivinen. Herkistyminen onepätodennäköinen, mutta ei poissuljettu.	0	3017	NA	NA	577	NA	1887	NA
Seul negat	0	2971	NA	NA	1451	NA	1616	NA
Tutkimuksen tulos: Negat	0	2940	NA	1.037	1387	1.005	2006	NA
B Rh POS	NA	2705	NA	1.429	2315	1.395	1438	NA
POSITIVE	1	2644	NA	1.033	1568	1.045	1403	NA
Tehty 1. LÖYDÖS: Negatiivinen	0	2516	NA	NA	2323	NA	1715	NA
Posit*	1	2456	NA	1.177	1594	1.185	1409	NA
Provresultat: neg	0	2427	NA	1.113	520	1.086	1235	NA
Tehty; NEGATIIVINEN	0	2299	NA	NA	1641	NA	1465	NA
-(negat)	0	1954	NA	1.026	1887	1.026	1513	NA
POSITIVE*	1	1906	NA	1.001	799	1	836	NA
POSIT.*	1	1732	NA	1.045	377	1.05	1197	NA
Neisseria gonorrhoeae negatiivinenChlamydia trachomatis negatiivinen	0	1710	how did we map these package tests (ANSWER: we did NOT!)	2.568	1202	2.352	107	NA
Resultat: Neg.	0	1663	NA	1	319	1	1607	NA
ABRh(D)pos	NA	1565	NA	1.104	933	1.055	1363	NA
pos*	1	1561	NA	1.056	667	1.029	944	NA
negat U/ml	0	1547	NA	1	1399	1	1023	NA
