OMOP Concept ID	Lab test ID	Lab test abbreviation	Lab test unit
586526	26466	-ncovnho	binary
586526	635984	-ncovnho	binary
586526	14378	np-pikcv19	binary
586526	654832	-ncovnho	binary
586526	K019	-ncovnho	binary
586526	624814	-ncovnho	binary
586526	625055	-ncovnho	binary
586526	629132	-ncovnho	binary
586526	8692	-ncovnho	binary
706163	6466	-cv19nho	binary
706163	635977	-cv19nho	binary
706163	652600	-cv19nho	binary
706163	651282	-cv19nho	binary
706163	624794	-cv19nho	binary
706163	629112	-cv19nho	binary
706163	625035	-cv19nho	binary
706163	7377821	-cv19nho	binary
706163	7030200	-cv19nho	binary
706163	2928367	-cv19nho	binary
706163	3969539	-cv19nho	binary
706163	630773	-cv19nho	binary
706163	628332	-cv19nho	binary
706163	3662521	-cv19nho	binary
706163	16466	-cv19nho	binary
706163	2673003	-cv19nho	binary
706163	647671	-cv19nho	binary
706163	36466	-cv19nho	binary
706163	4083270	-cv19nho	binary
706179	6476	s-cv19ab	binary
723473	6477	s-cv19aba	binary
723474	6478	s-cv19abg	binary
1001509	9287	ab-het-ion	binary
1001926	4203	u-bupre-o	binary
1001926	11186	u-bupre-o	binary
1001926	104203	u-bupre-o	binary
1001926	686	u-bupre-o	binary
1001926	8507	u-bupre-o	binary
1001926	3004203	u-bupre-o	binary
1001926	602134	u-bupre-o	binary
1001926	1602701	u-bupre-o	binary
1001926	626980	u-bupre-o	binary
1001926	14203	u-bupre-o	binary
1001926	2104203	u-bupre-o	binary
1001926	1104203	u-bupre-o	binary
1001926	608592	u-bupre-o	binary
1001926	4004203	u-bupre-o	binary
1001926	609232	u-bupre-o	binary
1001926	8550	u-bupre-o	binary
1001926	602886	u-bupre-o	binary
1002183	20815	bm-mm-ift	binary
1175426	9283	ly-cd3	%
1175426	10973	ly-t-cd3	%
1175426	8304	ly-t-cd3	%
1175426	872	ly-cd3	%
1175426	14628	ly-cd3	%
1175426	50002	ly-t-cd3	%
1175426	9042	ly-t-cd3	%
1175426	8304	ly-t-cd3	binary
1175556	6380	s-infliab	binary
1175556	6380	s-infliab	au/ml
1175556	11094	s-infliab	au/ml
1175556	13057	s-infliab	au/ml
1175556	11094	s-infliab	binary
1175556	8584	s-infliab	au/ml
1175556	6380	s-infliab	NA
1175556	790	s-infliab	au/ml
1175556	92525	s-infliab	au/ml
1175556	9342	s-infliab	au/ml
1175556	790	s-infliab	binary
1175715	4204	s-chpnabm	NA
1175715	4204	s-chpnabm	binary
1175715	4204	s-chpnabm	index
1175715	604276	s-chpnabm	binary
1175715	603336	s-chpnabm	binary
1175715	10029	s-chpnabm	index
1175715	4204	s-chpnabm	s/co
1175715	4204	s-chpnabm	titre
1175715	4204	s-chpnabm	u/ml
1175715	6004204	s-chpnabm	binary
1175715	104204	s-chpnabm	NA
1175715	4204	s-chpnabm	form
1175715	1104204	s-chpnabm	binary
1175715	3004204	s-chpnabm	binary
1175715	648019	s-chpnabm	binary
1175715	4004204	s-chpnabm	binary
1175715	603313	s-chpnabm	binary
1175715	10029	s-chpnabm	NA
1175715	2104204	s-chpnabm	binary
1175715	623663	s-chpnabm	binary
1175715	265	s-chpnabm	binary
1176173	12811	povnh	binary
3000012	9200	b-retind	%
3000012	3009200	b-retind	%
3000012	23287	b-retind	%
3000012	632304	b-retind	%
3000012	1654814	b-retind	%
3000060	10826	b-cd19	e6/l
3000060	8374	b-b-cd19	e9/l
3000060	8374	b-b-cd19	binary
3000060	50003	b-b-cd19	e9/l
3000060	10978	b-b-cd19	binary
3000060	9099	b-b-cd19	binary
3000081	3964	s-klotsa	nmol/l
3000081	3964	s-klotsa	µmol/l
3000081	609927	s-klotsa	nmol/l
3000081	3964	s-klotsa	binary
3000081	484	s-klotsa	nmol/l
3000081	7003964	s-klotsa	nmol/l
3000081	484	s-klotsa	nmol/l
3000081	602622	s-klotsa	nmol/l
3000081	619012	s-klotsa	µmol/l
3000081	7003964	s-klotsa	binary
3000081	2003964	s-klotsa	binary
3000081	1103964	s-klotsa	nmol/l
3000081	484	s-klotsa	µmol/l
3000081	609532	s-klotsa	µmol/l
3000081	609532	s-klotsa	binary
3000081	2103964	s-klotsa	nmol/l
3000081	619537	s-klotsa	binary
3000081	103964	s-klotsa	binary
3000081	103964	s-klotsa	µmol/l
3000081	1103964	s-klotsa	µmol/l
3000081	619012	s-klotsa	binary
3000081	484	s-klotsa	µmol/l
3000081	10010695	s-klotsa	nmol/l
3000081	609648	s-klotsa	nmol/l
3000081	103964	s-klotsa	nmol/l
3000081	600754	s-klotsa	nmol/l
3000081	602462	s-klotsa	nmol/l
3000081	603512	s-klotsa	µmol/l
3000081	484	s-klotsa	binary
3000081	609532	s-klotsa	nmol/l
3000081	610031	s-klotsa	µmol/l
3000081	2003964	s-klotsa	µmol/l
3000081	10010693	s-klotsa	nmol/l
3000081	1609927	s-klotsa	nmol/l
3000081	3964	s-klotsa	NA
3000081	623544	s-klotsa	µmol/l
3000093	2643	b-morfo	binary
3000093	606930	b-morfo	binary
3000093	102643	b-morfo	binary
3000093	2643	b-morfo	NA
3000093	603119	b-morfo	binary
3000093	1102643	b-morfo	binary
3000108	12642	rsvbnho	binary
3000208	3169	fs-e-vit	µmol/l
3000208	3003169	fs-e-vit	µmol/l
3000208	3169	fs-e-vit	binary
3000208	1103169	fs-e-vit	µmol/l
3000213	2406	du-normet	µmol
3000213	2406	du-normet	µmol/24h
3000213	2337	du-metnor	binary
3000213	240	du-normet	µmol
3000213	3002406	du-normet	µmol/24h
